,images,target
0,./COVID-19_Radiography_Dataset/COVID/images/COVID-783.png,COVID-19
1,./COVID-19_Radiography_Dataset/COVID/images/COVID-1030.png,COVID-19
2,./COVID-19_Radiography_Dataset/COVID/images/COVID-2198.png,COVID-19
3,./COVID-19_Radiography_Dataset/COVID/images/COVID-129.png,COVID-19
4,./COVID-19_Radiography_Dataset/COVID/images/COVID-3393.png,COVID-19
5,./COVID-19_Radiography_Dataset/COVID/images/COVID-542.png,COVID-19
6,./COVID-19_Radiography_Dataset/COVID/images/COVID-1355.png,COVID-19
7,./COVID-19_Radiography_Dataset/COVID/images/COVID-2341.png,COVID-19
8,./COVID-19_Radiography_Dataset/COVID/images/COVID-2746.png,COVID-19
9,./COVID-19_Radiography_Dataset/COVID/images/COVID-1041.png,COVID-19
10,./COVID-19_Radiography_Dataset/COVID/images/COVID-209.png,COVID-19
11,./COVID-19_Radiography_Dataset/COVID/images/COVID-183.png,COVID-19
12,./COVID-19_Radiography_Dataset/COVID/images/COVID-916.png,COVID-19
13,./COVID-19_Radiography_Dataset/COVID/images/COVID-630.png,COVID-19
14,./COVID-19_Radiography_Dataset/COVID/images/COVID-1383.png,COVID-19
15,./COVID-19_Radiography_Dataset/COVID/images/COVID-1956.png,COVID-19
16,./COVID-19_Radiography_Dataset/COVID/images/COVID-2270.png,COVID-19
17,./COVID-19_Radiography_Dataset/COVID/images/COVID-3276.png,COVID-19
18,./COVID-19_Radiography_Dataset/COVID/images/COVID-1578.png,COVID-19
19,./COVID-19_Radiography_Dataset/COVID/images/COVID-543.png,COVID-19
20,./COVID-19_Radiography_Dataset/COVID/images/COVID-1210.png,COVID-19
21,./COVID-19_Radiography_Dataset/COVID/images/COVID-480.png,COVID-19
22,./COVID-19_Radiography_Dataset/COVID/images/COVID-1641.png,COVID-19
23,./COVID-19_Radiography_Dataset/COVID/images/COVID-2415.png,COVID-19
24,./COVID-19_Radiography_Dataset/COVID/images/COVID-2756.png,COVID-19
25,./COVID-19_Radiography_Dataset/COVID/images/COVID-3478.png,COVID-19
26,./COVID-19_Radiography_Dataset/COVID/images/COVID-1875.png,COVID-19
27,./COVID-19_Radiography_Dataset/COVID/images/COVID-1970.png,COVID-19
28,./COVID-19_Radiography_Dataset/COVID/images/COVID-71.png,COVID-19
29,./COVID-19_Radiography_Dataset/COVID/images/COVID-2766.png,COVID-19
30,./COVID-19_Radiography_Dataset/COVID/images/COVID-3228.png,COVID-19
31,./COVID-19_Radiography_Dataset/COVID/images/COVID-2016.png,COVID-19
32,./COVID-19_Radiography_Dataset/COVID/images/COVID-795.png,COVID-19
33,./COVID-19_Radiography_Dataset/COVID/images/COVID-990.png,COVID-19
34,./COVID-19_Radiography_Dataset/COVID/images/COVID-1783.png,COVID-19
35,./COVID-19_Radiography_Dataset/COVID/images/COVID-717.png,COVID-19
36,./COVID-19_Radiography_Dataset/COVID/images/COVID-2403.png,COVID-19
37,./COVID-19_Radiography_Dataset/COVID/images/COVID-2665.png,COVID-19
38,./COVID-19_Radiography_Dataset/COVID/images/COVID-1423.png,COVID-19
39,./COVID-19_Radiography_Dataset/COVID/images/COVID-2774.png,COVID-19
40,./COVID-19_Radiography_Dataset/COVID/images/COVID-1579.png,COVID-19
41,./COVID-19_Radiography_Dataset/COVID/images/COVID-1738.png,COVID-19
42,./COVID-19_Radiography_Dataset/COVID/images/COVID-343.png,COVID-19
43,./COVID-19_Radiography_Dataset/COVID/images/COVID-1560.png,COVID-19
44,./COVID-19_Radiography_Dataset/COVID/images/COVID-3447.png,COVID-19
45,./COVID-19_Radiography_Dataset/COVID/images/COVID-448.png,COVID-19
46,./COVID-19_Radiography_Dataset/COVID/images/COVID-1793.png,COVID-19
47,./COVID-19_Radiography_Dataset/COVID/images/COVID-2841.png,COVID-19
48,./COVID-19_Radiography_Dataset/COVID/images/COVID-1683.png,COVID-19
49,./COVID-19_Radiography_Dataset/COVID/images/COVID-1065.png,COVID-19
50,./COVID-19_Radiography_Dataset/COVID/images/COVID-1364.png,COVID-19
51,./COVID-19_Radiography_Dataset/COVID/images/COVID-2263.png,COVID-19
52,./COVID-19_Radiography_Dataset/COVID/images/COVID-782.png,COVID-19
53,./COVID-19_Radiography_Dataset/COVID/images/COVID-915.png,COVID-19
54,./COVID-19_Radiography_Dataset/COVID/images/COVID-2890.png,COVID-19
55,./COVID-19_Radiography_Dataset/COVID/images/COVID-746.png,COVID-19
56,./COVID-19_Radiography_Dataset/COVID/images/COVID-608.png,COVID-19
57,./COVID-19_Radiography_Dataset/COVID/images/COVID-3050.png,COVID-19
58,./COVID-19_Radiography_Dataset/COVID/images/COVID-1894.png,COVID-19
59,./COVID-19_Radiography_Dataset/COVID/images/COVID-2975.png,COVID-19
60,./COVID-19_Radiography_Dataset/COVID/images/COVID-2828.png,COVID-19
61,./COVID-19_Radiography_Dataset/COVID/images/COVID-2823.png,COVID-19
62,./COVID-19_Radiography_Dataset/COVID/images/COVID-856.png,COVID-19
63,./COVID-19_Radiography_Dataset/COVID/images/COVID-3499.png,COVID-19
64,./COVID-19_Radiography_Dataset/COVID/images/COVID-2957.png,COVID-19
65,./COVID-19_Radiography_Dataset/COVID/images/COVID-2273.png,COVID-19
66,./COVID-19_Radiography_Dataset/COVID/images/COVID-1706.png,COVID-19
67,./COVID-19_Radiography_Dataset/COVID/images/COVID-682.png,COVID-19
68,./COVID-19_Radiography_Dataset/COVID/images/COVID-3197.png,COVID-19
69,./COVID-19_Radiography_Dataset/COVID/images/COVID-2015.png,COVID-19
70,./COVID-19_Radiography_Dataset/COVID/images/COVID-3613.png,COVID-19
71,./COVID-19_Radiography_Dataset/COVID/images/COVID-1931.png,COVID-19
72,./COVID-19_Radiography_Dataset/COVID/images/COVID-1639.png,COVID-19
73,./COVID-19_Radiography_Dataset/COVID/images/COVID-2902.png,COVID-19
74,./COVID-19_Radiography_Dataset/COVID/images/COVID-3150.png,COVID-19
75,./COVID-19_Radiography_Dataset/COVID/images/COVID-1735.png,COVID-19
76,./COVID-19_Radiography_Dataset/COVID/images/COVID-1130.png,COVID-19
77,./COVID-19_Radiography_Dataset/COVID/images/COVID-2612.png,COVID-19
78,./COVID-19_Radiography_Dataset/COVID/images/COVID-3507.png,COVID-19
