,images,target
0,./COVID-19_Radiography_Dataset/Normal/images/Normal-6673.png,Normal
1,./COVID-19_Radiography_Dataset/Normal/images/Normal-5317.png,Normal
2,./COVID-19_Radiography_Dataset/Normal/images/Normal-9974.png,Normal
3,./COVID-19_Radiography_Dataset/Normal/images/Normal-6433.png,Normal
4,./COVID-19_Radiography_Dataset/Normal/images/Normal-7096.png,Normal
5,./COVID-19_Radiography_Dataset/Normal/images/Normal-8560.png,Normal
6,./COVID-19_Radiography_Dataset/Normal/images/Normal-3918.png,Normal
7,./COVID-19_Radiography_Dataset/Normal/images/Normal-1762.png,Normal
8,./COVID-19_Radiography_Dataset/Normal/images/Normal-2592.png,Normal
9,./COVID-19_Radiography_Dataset/Normal/images/Normal-1637.png,Normal
10,./COVID-19_Radiography_Dataset/Normal/images/Normal-4556.png,Normal
11,./COVID-19_Radiography_Dataset/Normal/images/Normal-8277.png,Normal
12,./COVID-19_Radiography_Dataset/Normal/images/Normal-882.png,Normal
13,./COVID-19_Radiography_Dataset/Normal/images/Normal-5266.png,Normal
14,./COVID-19_Radiography_Dataset/Normal/images/Normal-3269.png,Normal
15,./COVID-19_Radiography_Dataset/Normal/images/Normal-9166.png,Normal
16,./COVID-19_Radiography_Dataset/Normal/images/Normal-66.png,Normal
17,./COVID-19_Radiography_Dataset/Normal/images/Normal-9334.png,Normal
18,./COVID-19_Radiography_Dataset/Normal/images/Normal-9646.png,Normal
19,./COVID-19_Radiography_Dataset/Normal/images/Normal-1223.png,Normal
20,./COVID-19_Radiography_Dataset/Normal/images/Normal-7994.png,Normal
21,./COVID-19_Radiography_Dataset/Normal/images/Normal-9023.png,Normal
22,./COVID-19_Radiography_Dataset/Normal/images/Normal-6726.png,Normal
23,./COVID-19_Radiography_Dataset/Normal/images/Normal-754.png,Normal
24,./COVID-19_Radiography_Dataset/Normal/images/Normal-5813.png,Normal
25,./COVID-19_Radiography_Dataset/Normal/images/Normal-2103.png,Normal
