,images,target
0,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1067.png,ViralPneumonia
1,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-466.png,ViralPneumonia
2,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-667.png,ViralPneumonia
3,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-361.png,ViralPneumonia
4,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-933.png,ViralPneumonia
5,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-236.png,ViralPneumonia
6,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-332.png,ViralPneumonia
7,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-603.png,ViralPneumonia
8,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-312.png,ViralPneumonia
9,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1282.png,ViralPneumonia
10,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1051.png,ViralPneumonia
11,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-423.png,ViralPneumonia
12,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-464.png,ViralPneumonia
13,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1333.png,ViralPneumonia
14,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1114.png,ViralPneumonia
15,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-688.png,ViralPneumonia
16,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-272.png,ViralPneumonia
17,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1040.png,ViralPneumonia
18,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-224.png,ViralPneumonia
19,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1290.png,ViralPneumonia
20,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-823.png,ViralPneumonia
21,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-33.png,ViralPneumonia
22,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-518.png,ViralPneumonia
23,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-988.png,ViralPneumonia
