,images,target
1757,./COVID-19_Radiography_Dataset/COVID/masks/COVID-873.png,COVID-19
1758,./COVID-19_Radiography_Dataset/COVID/masks/COVID-568.png,COVID-19
1759,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3108.png,COVID-19
1760,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2909.png,COVID-19
1761,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3475.png,COVID-19
1762,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2930.png,COVID-19
1763,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3372.png,COVID-19
1764,./COVID-19_Radiography_Dataset/COVID/masks/COVID-887.png,COVID-19
1765,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3415.png,COVID-19
1766,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2714.png,COVID-19
1767,./COVID-19_Radiography_Dataset/COVID/masks/COVID-357.png,COVID-19
1768,./COVID-19_Radiography_Dataset/COVID/masks/COVID-79.png,COVID-19
1769,./COVID-19_Radiography_Dataset/COVID/masks/COVID-643.png,COVID-19
1770,./COVID-19_Radiography_Dataset/COVID/masks/COVID-651.png,COVID-19
1771,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3538.png,COVID-19
1772,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3487.png,COVID-19
1773,./COVID-19_Radiography_Dataset/COVID/masks/COVID-552.png,COVID-19
1774,./COVID-19_Radiography_Dataset/COVID/masks/COVID-987.png,COVID-19
1775,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3368.png,COVID-19
1776,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2745.png,COVID-19
1777,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2907.png,COVID-19
1778,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2669.png,COVID-19
1779,./COVID-19_Radiography_Dataset/COVID/masks/COVID-746.png,COVID-19
1780,./COVID-19_Radiography_Dataset/COVID/masks/COVID-87.png,COVID-19
1781,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3257.png,COVID-19
1782,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3606.png,COVID-19
1783,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3572.png,COVID-19
1784,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3113.png,COVID-19
1785,./COVID-19_Radiography_Dataset/COVID/masks/COVID-628.png,COVID-19
1786,./COVID-19_Radiography_Dataset/COVID/masks/COVID-330.png,COVID-19
1787,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3354.png,COVID-19
1788,./COVID-19_Radiography_Dataset/COVID/masks/COVID-841.png,COVID-19
1789,./COVID-19_Radiography_Dataset/COVID/masks/COVID-844.png,COVID-19
1790,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3110.png,COVID-19
1791,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3278.png,COVID-19
1792,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3493.png,COVID-19
1793,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3336.png,COVID-19
1794,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2683.png,COVID-19
1795,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2839.png,COVID-19
1796,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2713.png,COVID-19
1797,./COVID-19_Radiography_Dataset/COVID/masks/COVID-542.png,COVID-19
1798,./COVID-19_Radiography_Dataset/COVID/masks/COVID-684.png,COVID-19
1799,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2974.png,COVID-19
1800,./COVID-19_Radiography_Dataset/COVID/masks/COVID-365.png,COVID-19
1801,./COVID-19_Radiography_Dataset/COVID/masks/COVID-50.png,COVID-19
1802,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2785.png,COVID-19
1803,./COVID-19_Radiography_Dataset/COVID/masks/COVID-3239.png,COVID-19
1804,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2897.png,COVID-19
1805,./COVID-19_Radiography_Dataset/COVID/masks/COVID-97.png,COVID-19
1806,./COVID-19_Radiography_Dataset/COVID/masks/COVID-2682.png,COVID-19
